,Point.Forecast,Lo.80,Hi.80,Lo.90,Hi.90
Mar-20,0.930447903,0.772173575,1.088722231,0.727305002,1.133590803
Apr-20,0.907576349,0.738502113,1.076650585,0.690571917,1.124580782
May-20,0.862691784,0.68345991,1.041923658,0.632650164,1.092733404
Jun-20,0.885575959,0.69672505,1.074426867,0.643188441,1.127963476
Jul-20,0.891061169,0.693051317,1.089071022,0.636918275,1.145204063
Aug-20,0.912102848,0.705332992,1.118872704,0.646716611,1.177489085
Sep-20,0.894976229,0.679796578,1.110155879,0.618796138,1.17115632
Oct-20,0.912403005,0.689124193,1.135681818,0.625827752,1.198978259
Nov-20,0.896495586,0.665395579,1.127595593,0.599881938,1.193109234
Dec-20,0.896971306,0.658300742,1.135641869,0.590640954,1.203301658
Jan-21,0.936628488,0.690614864,1.182642112,0.62087342,1.252383556
Feb-21,0.940939317,0.687790329,1.194088305,0.616026108,1.265852526
Mar-21,0.942035511,0.680568077,1.203502945,0.606445693,1.277625329
Apr-21,0.919163957,0.650962145,1.18736577,0.574930658,1.263397257
May-21,0.874279392,0.599503392,1.149055392,0.521608214,1.22695057
Jun-21,0.897163567,0.615962333,1.1783648,0.536245691,1.258081443
Jul-21,0.902648777,0.615161275,1.190136279,0.533662563,1.271634992
Aug-21,0.923690456,0.630046724,1.217334188,0.546802806,1.300578106
Sep-21,0.906563837,0.606885897,1.206241777,0.521931365,1.291196309
Oct-21,0.923990614,0.618393258,1.229587969,0.531760654,1.316220573
Nov-21,0.908083194,0.596674668,1.21949172,0.508394679,1.307771709
Dec-21,0.908558914,0.591441511,1.225676317,0.501543133,1.315574695
Jan-22,0.948216096,0.625486677,1.270945514,0.533997372,1.36243482
Feb-22,0.952526925,0.624277384,1.280776466,0.5312232,1.37383065
Mar-22,0.953623119,0.6188644,1.288381838,0.523964955,1.383281283
Apr-22,0.930751566,0.590660117,1.270843014,0.494248917,1.367254214
May-22,0.885867,0.540521314,1.231212686,0.442620611,1.32911339
Jun-22,0.908751175,0.558226211,1.259276138,0.458857255,1.358645095
Jul-22,0.914236385,0.558603828,1.269868942,0.45778694,1.37068583
Aug-22,0.935278064,0.574606551,1.295949577,0.472361189,1.398194939
Sep-22,0.918151445,0.552506774,1.283796116,0.448851591,1.387451299
Oct-22,0.935578222,0.565023541,1.306132903,0.459976437,1.411180006
Nov-22,0.919670802,0.544266779,1.295074825,0.437844955,1.401496649
Dec-22,0.920146522,0.539951504,1.30034154,0.432171499,1.408121545
Jan-23,0.959803704,0.574873856,1.344733552,0.465751593,1.453855815
Feb-23,0.964114533,0.574503972,1.353725094,0.464054792,1.464174274
Mar-23,0.965210727,0.570056328,1.360365126,0.458035547,1.472385908
Apr-23,0.942339174,0.542617103,1.342061244,0.42930145,1.455376897
May-23,0.897454608,0.493213175,1.301696041,0.378616346,1.416292871
Jun-23,0.920338783,0.511624692,1.329052874,0.395759926,1.444917639
Jul-23,0.925823993,0.512682432,1.338965555,0.39556254,1.456085447
Aug-23,0.946865672,0.529340388,1.364390956,0.410977772,1.482753573
Sep-23,0.929739053,0.50787243,1.351605676,0.388279104,1.471199002
Oct-23,0.94716583,0.520998954,1.373332705,0.400186567,1.494145093
Nov-23,0.93125841,0.500831137,1.361685684,0.378810985,1.483705835
Dec-23,0.93173413,0.49708514,1.366383121,0.37386819,1.48960007
Jan-24,0.971391312,0.532558168,1.410224456,0.40815507,1.534627554
Feb-24,0.975702141,0.532721343,1.41868294,0.407142442,1.544261841
Mar-24,0.976798335,0.528894651,1.424702019,0.40192018,1.55167649
Apr-24,0.953926782,0.501952748,1.405900815,0.37382439,1.534029173
May-24,0.909042216,0.453031226,1.365053207,0.323758446,1.494325987
Jun-24,0.931926391,0.471910955,1.391941827,0.341502971,1.522349811
Jul-24,0.937411601,0.47342339,1.401399813,0.341889179,1.532934024
Aug-24,0.95845328,0.490523154,1.426383406,0.357871465,1.559035095
Sep-24,0.941326661,0.469484708,1.413168614,0.33572407,1.546929252
Oct-24,0.958753438,0.483029001,1.434477874,0.348167733,1.569339142
Nov-24,0.942846018,0.463267728,1.422424308,0.327313947,1.55837809
Dec-24,0.943321738,0.459917539,1.426725937,0.322879166,1.563764311
Jan-25,0.98297892,0.495776097,1.470181743,0.357660867,1.608296974
Feb-25,0.987289749,0.496314953,1.478264546,0.35713042,1.617449078
Mar-25,0.988385943,0.492929359,1.483842527,0.352474302,1.624297584
Apr-25,0.96551439,0.466342809,1.46468597,0.324834602,1.606194177
May-25,0.920629824,0.417768016,1.423491633,0.275213681,1.566045968
Jun-25,0.943513999,0.436986188,1.45004181,0.293392592,1.593635406
Jul-25,0.948999209,0.4388291,1.459169319,0.294202962,1.603795456
Aug-25,0.970040888,0.456251677,1.4838301,0.310599575,1.629482202
Sep-25,0.952914269,0.435528667,1.470299872,0.288857037,1.616971501
Oct-25,0.970341046,0.449381291,1.491300801,0.301696439,1.638985653
Nov-25,0.954433626,0.429921502,1.478945751,0.281229602,1.62763765
Dec-25,0.954909346,0.426866195,1.482952498,0.277173299,1.632645394
Jan-26,0.994566528,0.463013266,1.52611979,0.312325303,1.676807754
Feb-26,0.998877357,0.463834489,1.533920226,0.31215727,1.685597444
Mar-26,0.999973551,0.460782267,1.539164836,0.30792903,1.692018073
Apr-26,0.977101998,0.434465244,1.519738751,0.280635265,1.673568731
May-26,0.932217432,0.386154474,1.478280391,0.231353213,1.633081651
Jun-26,0.955101607,0.405631347,1.504571867,0.249864163,1.660339051
Jul-26,0.960586817,0.407727808,1.513445827,0.250999961,1.670173674
Aug-26,0.981628496,0.42539895,1.537858043,0.267715602,1.695541391
Sep-26,0.964501877,0.404919676,1.524084079,0.246285897,1.682717857
Oct-26,0.981928654,0.41901136,1.544845948,0.259432129,1.704425179
Nov-26,0.966021234,0.399786098,1.53225637,0.239266305,1.692776163
Dec-26,0.966496954,0.396960925,1.536032984,0.235505374,1.697488534
Jan-27,1.006154136,0.433333868,1.578974404,0.270947282,1.741360991
Feb-27,1.010464965,0.434376828,1.586553103,0.271063846,1.749866085
Mar-27,1.011561159,0.431587497,1.591534821,0.267173023,1.755949296
Apr-27,0.988689606,0.405483503,1.571895709,0.240152676,1.737226536
May-27,0.943805041,0.357381998,1.530228083,0.191139214,1.696470867
Jun-27,0.966689215,0.377064482,1.556313948,0.209914063,1.723464367
Jul-27,0.972174426,0.379363001,1.56498585,0.2113092,1.733039651
Aug-27,0.993216104,0.397232748,1.589199461,0.228279747,1.758152462
Sep-27,0.976089485,0.376948719,1.575230251,0.207100637,1.745078333
Oct-27,0.993516262,0.391232381,1.595800143,0.220493269,1.766539255
Nov-27,0.977608842,0.372195917,1.583021768,0.200569764,1.75464792
Dec-27,0.978084562,0.369556445,1.58661268,0.197047179,1.759121946
Jan-28,1.017741744,0.406112075,1.629371413,0.232723563,1.802759926
Feb-28,1.022052573,0.407334786,1.636770361,0.233070835,1.811034312
Mar-28,1.023148767,0.404759294,1.641538241,0.229454471,1.816843064
Apr-28,1.000277214,0.378828826,1.621725601,0.202656844,1.797897584
May-28,0.955392649,0.330898147,1.57988715,0.153862634,1.756922664
Jun-28,0.978276823,0.350748821,1.605804826,0.172853351,1.783700295
Jul-28,0.983762034,0.353212959,1.614311108,0.174461058,1.793063009
Aug-28,1.004803712,0.371245818,1.638361607,0.191640958,1.817966467
Sep-28,0.987677093,0.351122455,1.624231731,0.170668061,1.804686126
Oct-28,1.00510387,0.365564395,1.644643345,0.18426384,1.8259439
Nov-28,0.98919645,0.346683877,1.631709024,0.164540491,1.81385241
Dec-28,0.98967217,0.344198076,1.635146265,0.161215139,1.818129202
Jan-29,1.029329352,0.380905154,1.677753551,0.197085903,1.861572801
Feb-29,1.033640182,0.38227714,1.685003223,0.197624768,1.869655595
Mar-29,1.034736375,0.37987974,1.689593011,0.194236983,1.875235768
Apr-29,1.011864822,0.354093921,1.669635723,0.167625011,1.856104633
May-29,0.966980257,0.306305873,1.627654641,0.119013865,1.814946648
Jun-29,0.989864431,0.326297204,1.653431658,0.138185116,1.841543747
Jul-29,0.995349642,0.328900072,1.661799211,0.13997088,1.850728404
Aug-29,1.016391321,0.347069773,1.685712868,0.157326414,1.875456227
Sep-29,0.999264701,0.327081406,1.671447997,0.136526782,1.862002621
Oct-29,1.016691478,0.341656535,1.691726421,0.150293508,1.883089448
Nov-29,1.000784059,0.322907439,1.678660678,0.130738837,1.87082928
Dec-29,1.001259778,0.320551329,1.681968228,0.127579943,1.874939614
Jan-30,1.04091696,0.357386404,1.724447517,0.163614989,1.918218931
Feb-30,1.04522779,0.358884729,1.73157085,0.164316008,1.926139571
Mar-30,1.046323984,0.356638434,1.736009533,0.161122164,1.931525803
Apr-30,1.02345243,0.330975404,1.715929456,0.13466779,1.912237071
May-30,0.978567865,0.283308593,1.673827137,0.08621225,1.87092348
Jun-30,1.001452039,0.303419639,1.699484439,0.105537153,1.897366925
Jul-30,1.00693725,0.306140732,1.707733768,0.107474657,1.906399843
Aug-30,1.027978929,0.324427195,1.731530662,0.124980055,1.930977802
Sep-30,1.01085231,0.304554159,1.71715046,0.104328448,1.917376171
Oct-30,1.028279086,0.319243214,1.737314959,0.118241396,1.938316776
Nov-30,1.012371667,0.300606666,1.724136667,0.098831178,1.925912155
Dec-30,1.012847387,0.298361752,1.727333021,0.095815003,1.92987977
Jan-31,1.052504569,0.335306699,1.769702438,0.131991068,1.973018069
Feb-31,1.056815398,0.336913594,1.776717201,0.132831436,1.98079936
Mar-31,1.057911592,0.334797446,1.781025737,0.129804634,1.98601855
Apr-31,1.035040038,0.309240196,1.760839881,0.103486025,1.966594051
May-31,0.990155473,0.261677939,1.718633007,0.05516468,1.925146266
Jun-31,1.013039647,0.281892339,1.744186956,0.074622236,1.951457059
Jul-31,1.018524858,0.284715604,1.752334112,0.076690877,1.960358839
Aug-31,1.039566537,0.303103082,1.776029991,0.094325926,1.984807147
Sep-31,1.022439918,0.283329923,1.761549913,0.073802509,1.971077326
Oct-31,1.039866694,0.298117736,1.781615652,0.087842213,1.991891175
Nov-31,1.023959275,0.27957885,1.768339699,0.068557343,1.979361207
Dec-31,1.024434995,0.277430519,1.77143947,0.06566513,1.983204859
Jan-32,1.064092177,0.314470989,1.813713364,0.101963798,2.026220555
Feb-32,1.068403006,0.316172366,1.820633646,0.102925432,2.03388058
Mar-32,1.0694992,0.314169711,1.824828689,0.100044296,2.038954104
Apr-32,1.046627646,0.2887047,1.804550592,0.073844076,2.019411216
May-32,1.001743081,0.241233698,1.762252464,0.025639855,1.977846307
Jun-32,1.024627256,0.261538384,1.787716127,0.045213292,2.004041219
Jul-32,1.030112466,0.264450983,1.795773949,0.047396592,2.01282834
Aug-32,1.051154145,0.282926859,1.819381431,0.065145098,2.037163192
Sep-32,1.034027526,0.263241175,1.804813876,0.044733955,2.023321096
Oct-32,1.051454302,0.278115559,1.824793046,0.058884771,2.044023834
Nov-32,1.035546883,0.259662352,1.811431414,0.039709868,2.031383897
Dec-32,1.036022603,0.257598823,1.814446382,0.036926498,2.035118707
Jan-33,1.075679785,0.294723232,1.856636337,0.073332901,2.078026668
Feb-33,1.079990614,0.2965077,1.863473527,0.074401181,2.085580046
Mar-33,1.081086808,0.294605047,1.867568568,0.071648396,2.090525219
Apr-33,1.058215254,0.269221295,1.847209213,0.045552471,2.070878038
May-33,1.013330689,0.221830745,1.804830633,-0.002548491,2.029209869
Jun-33,1.036214864,0.24221509,1.830214637,0.017127187,2.055302541
Jul-33,1.041700074,0.245206566,1.838193582,0.019411724,2.063988424
Aug-33,1.062741753,0.263760548,1.861722957,0.037260479,2.088223027
Sep-33,1.045615134,0.244152214,1.847078053,0.016948613,2.074281654
Oct-33,1.06304191,0.259103201,1.866980619,0.031197748,2.094886073
Nov-33,1.047134491,0.240725862,1.853543119,0.012120221,2.08214876
Dec-33,1.047610211,0.238737478,1.856482943,0.009433298,2.085787123
Jan-34,1.087267393,0.275936319,1.898598467,0.045935233,2.128599553
Feb-34,1.091578222,0.277794515,1.905361928,0.047098142,2.136058301
Mar-34,1.092674416,0.275980759,1.909368072,0.044459456,2.140889376
Apr-34,1.069802862,0.250669216,1.888936508,0.01845621,2.121149515
May-34,1.024918297,0.203350206,1.846486388,-0.029552932,2.079389526
Jun-34,1.047802472,0.223805429,1.871799514,-0.009786282,2.105391226
Jul-34,1.053287682,0.226867134,1.87970823,-0.007411608,2.113986972
Aug-34,1.074329361,0.245490704,1.903168018,0.010526462,2.13813226
Sep-34,1.057202742,0.225951325,1.888454158,-0.009696901,2.124102385
Oct-34,1.074629518,0.240970644,1.908288392,0.004639937,2.144619099
Nov-34,1.058722099,0.222661023,1.894783175,-0.014350675,2.131794872
Dec-34,1.059197819,0.220739751,1.897655886,-0.01695146,2.135347098
Jan-35,1.098855001,0.258005106,1.939704895,0.019635845,2.178074156
Feb-35,1.10316583,0.259929229,1.946402431,0.02088337,2.18544829
Mar-35,1.104262024,0.258195101,1.950328946,0.018346885,2.190177163
Apr-35,1.08139047,0.232948208,1.929832733,-0.007573385,2.170354325
May-35,1.036505905,0.185693283,1.887318527,-0.055500273,2.128512084
Jun-35,1.05939008,0.206212037,1.912568123,-0.035652084,2.154432243
Jul-35,1.06487529,0.209336723,1.920413857,-0.033196573,2.162947153
Aug-35,1.085916969,0.228022734,1.943811204,-0.015178361,2.187012299
Sep-35,1.06879035,0.208545263,1.929035437,-0.035322266,2.172902966
Oct-35,1.086217126,0.223625962,1.948808291,-0.020906647,2.1933409
Nov-35,1.070309707,0.205377202,1.935242211,-0.039819144,2.180438558
Dec-35,1.070785427,0.203516279,1.938054575,-0.042342473,2.183913327
Jan-36,1.110442609,0.240841477,1.980043741,-0.005678361,2.226563579
Feb-36,1.114753438,0.242824943,1.986681933,-0.00435467,2.233861546
Mar-36,1.115849632,0.241162614,1.99053665,-0.006799002,2.238498266
Apr-36,1.092978078,0.215973979,1.969982178,-0.032644497,2.218600654
May-36,1.048093513,0.168776833,1.927410193,-0.080497227,2.176684253
